2026-06-26 23:09:01 | INFO | [PERF] GET /api/notifications/count 200 | api=3823.7ms db=3201.2ms (connect=1661.0ms queries=1540.2ms x2)
2026-06-26 23:09:06 | INFO | [PERF] GET /api/notifications/count 200 | api=4465.4ms db=3787.9ms (connect=2222.4ms queries=1565.5ms x2)
2026-06-26 23:09:11 | INFO | [PERF] GET /api/notifications/count 200 | api=5253.0ms db=4101.7ms (connect=2416.2ms queries=1685.4ms x2)
2026-06-26 23:09:16 | INFO | [PERF] GET /api/notifications/count 200 | api=4444.0ms db=2914.8ms (connect=1768.6ms queries=1146.2ms x2)
2026-06-26 23:09:20 | INFO | [PERF] GET /api/notifications/count 200 | api=3953.3ms db=3469.0ms (connect=2323.7ms queries=1145.4ms x2)
2026-06-26 23:09:24 | INFO | [PERF] GET /api/notifications/count 200 | api=4568.0ms db=3912.9ms (connect=2775.7ms queries=1137.2ms x2)
2026-06-26 23:09:28 | INFO | [PERF] GET /api/notifications/count 200 | api=3962.3ms db=3290.2ms (connect=2161.3ms queries=1128.9ms x2)
2026-06-26 23:09:33 | INFO | [PERF] GET /api/notifications/count 200 | api=4475.3ms db=3905.9ms (connect=2772.0ms queries=1133.9ms x2)
2026-06-26 23:09:37 | INFO | [PERF] GET /api/notifications/count 200 | api=3797.3ms db=2765.6ms (connect=1679.7ms queries=1085.9ms x2)
2026-06-26 23:09:40 | INFO | [PERF] GET /api/notifications/count 200 | api=3434.5ms db=2818.9ms (connect=1671.3ms queries=1147.6ms x2)
2026-06-26 23:09:45 | INFO | [PERF] GET /api/notifications/count 200 | api=5132.6ms db=4608.5ms (connect=3043.6ms queries=1564.9ms x2)
2026-06-26 23:09:49 | INFO | [PERF] GET /api/notifications/count 200 | api=3648.4ms db=3169.3ms (connect=1650.9ms queries=1518.4ms x2)
2026-06-26 23:09:53 | INFO | [PERF] GET /api/notifications/count 200 | api=4341.2ms db=3336.2ms (connect=2221.9ms queries=1114.3ms x2)
2026-06-26 23:09:57 | INFO | [PERF] GET /api/notifications/count 200 | api=3392.2ms db=2836.7ms (connect=1752.8ms queries=1083.9ms x2)
2026-06-26 23:10:00 | INFO | [PERF] GET /api/notifications/count 200 | api=3328.7ms db=2795.8ms (connect=1588.0ms queries=1207.7ms x2)
2026-06-26 23:10:05 | INFO | [PERF] GET /api/notifications/count 200 | api=4839.7ms db=4226.7ms (connect=3070.1ms queries=1156.5ms x2)
2026-06-26 23:10:09 | INFO | [PERF] GET /api/notifications/count 200 | api=4242.3ms db=3236.9ms (connect=2134.1ms queries=1102.7ms x2)
2026-06-26 23:10:13 | INFO | [PERF] GET /api/notifications/count 200 | api=4335.4ms db=3761.6ms (connect=2619.3ms queries=1142.3ms x2)
